Date,Open,High,Low,Close
10/9/23,"4,289.02","4,341.73","4,283.79","4,335.66"
10/6/23,"4,234.79","4,324.10","4,219.55","4,308.50"
10/5/23,"4,259.31","4,267.13","4,225.91","4,258.19"
10/4/23,"4,233.83","4,268.50","4,220.48","4,263.75"
10/3/23,"4,269.75","4,281.15","4,216.45","4,229.45"
10/2/23,"4,284.52","4,300.58","4,260.21","4,288.39"
9/29/23,"4,328.18","4,333.15","4,274.86","4,288.05"
9/28/23,"4,269.65","4,317.27","4,264.38","4,299.70"
9/27/23,"4,282.63","4,292.07","4,238.63","4,274.51"
9/26/23,"4,312.88","4,313.01","4,265.98","4,273.53"
9/25/23,"4,310.62","4,338.51","4,302.70","4,337.44"
9/22/23,"4,341.74","4,357.40","4,316.49","4,320.06"
9/21/23,"4,374.36","4,375.70","4,329.17","4,330.00"
9/20/23,"4,452.81","4,461.03","4,401.38","4,402.20"
9/19/23,"4,445.41","4,449.85","4,416.61","4,443.95"
9/18/23,"4,445.13","4,466.36","4,442.11","4,453.53"
9/15/23,"4,497.98","4,497.98","4,447.21","4,450.32"
9/14/23,"4,487.78","4,511.99","4,478.69","4,505.10"
9/13/23,"4,462.65","4,479.39","4,453.52","4,467.44"
9/12/23,"4,473.27","4,487.11","4,456.83","4,461.90"
9/11/23,"4,480.98","4,490.77","4,467.89","4,487.46"
9/8/23,"4,451.30","4,473.53","4,448.38","4,457.49"
9/7/23,"4,434.55","4,457.81","4,430.46","4,451.14"
9/6/23,"4,490.35","4,490.35","4,442.38","4,465.48"
9/5/23,"4,510.06","4,514.29","4,496.01","4,496.83"
9/1/23,"4,530.85","4,541.25","4,501.35","4,515.77"
8/31/23,"4,517.01","4,532.26","4,507.39","4,507.66"
8/30/23,"4,500.34","4,521.65","4,493.59","4,514.87"
8/29/23,"4,432.75","4,500.14","4,431.68","4,497.63"
8/28/23,"4,426.03","4,439.56","4,414.98","4,433.31"
8/25/23,"4,389.38","4,418.46","4,356.29","4,405.71"
8/24/23,"4,455.16","4,458.30","4,375.55","4,376.31"
8/23/23,"4,396.44","4,443.18","4,396.44","4,436.01"
8/22/23,"4,415.33","4,418.59","4,382.77","4,387.55"
8/21/23,"4,380.28","4,407.55","4,360.30","4,399.77"
8/18/23,"4,344.88","4,381.82","4,335.31","4,369.71"
8/17/23,"4,416.32","4,421.17","4,364.83","4,370.36"
8/16/23,"4,433.79","4,449.95","4,403.55","4,404.33"
8/15/23,"4,478.87","4,478.87","4,432.19","4,437.86"
8/14/23,"4,458.13","4,490.33","4,453.44","4,489.72"
8/11/23,"4,450.69","4,476.23","4,443.98","4,464.05"
8/10/23,"4,487.16","4,527.37","4,457.92","4,468.83"
8/9/23,"4,501.57","4,502.44","4,461.33","4,467.71"
8/8/23,"4,498.03","4,503.31","4,464.39","4,499.38"
8/7/23,"4,491.58","4,519.84","4,491.15","4,518.44"
8/4/23,"4,513.96","4,540.34","4,474.55","4,478.03"
8/3/23,"4,494.27","4,519.49","4,485.54","4,501.89"
8/2/23,"4,550.93","4,550.93","4,505.75","4,513.39"
8/1/23,"4,578.83","4,584.62","4,567.53","4,576.73"
7/31/23,"4,584.82","4,594.22","4,573.14","4,588.96"
7/28/23,"4,565.75","4,590.16","4,564.01","4,582.23"
7/27/23,"4,598.26","4,607.07","4,528.56","4,537.41"
7/26/23,"4,558.96","4,582.47","4,547.58","4,566.75"
7/25/23,"4,555.19","4,580.62","4,552.42","4,567.46"
7/24/23,"4,543.39","4,563.41","4,541.29","4,554.64"
7/21/23,"4,550.16","4,555.00","4,535.79","4,536.34"
7/20/23,"4,554.38","4,564.74","4,527.56","4,534.87"
7/19/23,"4,563.87","4,578.43","4,557.48","4,565.72"
7/18/23,"4,521.78","4,562.30","4,514.59","4,554.98"
7/17/23,"4,508.86","4,532.85","4,504.90","4,522.79"
7/14/23,"4,514.61","4,527.76","4,499.56","4,505.42"
7/13/23,"4,491.50","4,517.38","4,489.36","4,510.04"
7/12/23,"4,467.69","4,488.34","4,463.23","4,472.16"
7/11/23,"4,415.55","4,443.64","4,408.46","4,439.26"
7/10/23,"4,394.23","4,412.60","4,389.92","4,409.53"
7/7/23,"4,404.54","4,440.39","4,397.40","4,398.95"
7/6/23,"4,422.62","4,422.62","4,385.05","4,411.59"
7/5/23,"4,442.04","4,454.06","4,436.61","4,446.82"
7/3/23,"4,449.45","4,456.46","4,442.29","4,455.59"
6/30/23,"4,422.44","4,458.48","4,422.44","4,450.38"
6/29/23,"4,374.94","4,398.39","4,371.97","4,396.44"
6/28/23,"4,367.48","4,390.35","4,360.22","4,376.86"
6/27/23,"4,337.36","4,384.42","4,335.00","4,378.41"
6/26/23,"4,344.84","4,362.06","4,328.08","4,328.82"
6/23/23,"4,354.17","4,366.55","4,341.34","4,348.33"
6/22/23,"4,355.40","4,382.25","4,351.82","4,381.89"
6/21/23,"4,380.01","4,386.22","4,360.14","4,365.69"
6/20/23,"4,396.11","4,400.15","4,367.19","4,388.71"
6/16/23,"4,442.70","4,448.47","4,407.44","4,409.59"
6/15/23,"4,365.33","4,439.20","4,362.60","4,425.84"
6/14/23,"4,366.29","4,391.82","4,337.85","4,372.59"
6/13/23,"4,352.61","4,375.37","4,349.31","4,369.01"
6/12/23,"4,308.32","4,340.13","4,304.37","4,338.93"
6/9/23,"4,304.88","4,322.62","4,291.70","4,298.86"
6/8/23,"4,268.69","4,298.01","4,261.07","4,293.93"
6/7/23,"4,285.47","4,299.19","4,263.96","4,267.52"
6/6/23,"4,271.34","4,288.33","4,263.09","4,283.85"
6/5/23,"4,282.99","4,299.28","4,266.82","4,273.79"
6/2/23,"4,241.01","4,290.67","4,241.01","4,282.37"
6/1/23,"4,183.03","4,232.43","4,171.64","4,221.02"
5/31/23,"4,190.74","4,195.44","4,166.15","4,179.83"
5/30/23,"4,226.71","4,231.10","4,192.18","4,205.52"
5/26/23,"4,155.98","4,212.87","4,156.16","4,205.45"
5/25/23,"4,155.71","4,165.74","4,129.73","4,151.28"
5/24/23,"4,132.96","4,132.96","4,103.98","4,115.24"
5/23/23,"4,176.80","4,185.68","4,142.54","4,145.58"
5/22/23,"4,190.78","4,209.22","4,179.68","4,192.63"
5/19/23,"4,204.15","4,212.91","4,180.20","4,191.98"
5/18/23,"4,157.68","4,202.20","4,153.50","4,198.05"
5/17/23,"4,122.85","4,164.67","4,113.62","4,158.77"
5/16/23,"4,127.95","4,135.54","4,109.86","4,109.90"
5/15/23,"4,126.65","4,141.25","4,110.27","4,136.28"
5/12/23,"4,138.54","4,143.74","4,099.12","4,124.08"
5/11/23,"4,132.24","4,132.80","4,109.29","4,130.62"
5/10/23,"4,143.74","4,154.28","4,098.92","4,137.64"
5/9/23,"4,124.25","4,130.35","4,116.65","4,119.17"
5/8/23,"4,136.98","4,142.30","4,123.81","4,138.12"
5/5/23,"4,084.73","4,147.02","4,084.73","4,136.25"
5/4/23,"4,082.55","4,082.61","4,048.28","4,061.22"
5/3/23,"4,122.25","4,148.30","4,088.86","4,090.75"
5/2/23,"4,164.10","4,164.10","4,089.72","4,119.58"
5/1/23,"4,166.79","4,186.92","4,164.12","4,167.87"
4/28/23,"4,129.63","4,170.06","4,127.18","4,169.48"
4/27/23,"4,075.29","4,138.24","4,075.29","4,135.35"
4/26/23,"4,087.78","4,089.67","4,049.35","4,055.99"
4/25/23,"4,126.43","4,126.43","4,071.38","4,071.63"
4/24/23,"4,132.07","4,142.41","4,117.77","4,137.04"
4/21/23,"4,132.14","4,138.02","4,113.86","4,133.52"
4/20/23,"4,130.48","4,148.57","4,114.57","4,129.79"
4/19/23,"4,139.33","4,162.57","4,134.49","4,154.52"
4/18/23,"4,164.26","4,169.48","4,140.36","4,154.87"
4/17/23,"4,137.17","4,151.72","4,123.18","4,151.32"
4/14/23,"4,140.11","4,163.19","4,113.20","4,137.64"
4/13/23,"4,100.04","4,150.26","4,099.40","4,146.22"
4/12/23,"4,121.72","4,134.37","4,086.94","4,091.95"
4/11/23,"4,110.29","4,124.26","4,102.61","4,108.94"
4/10/23,"4,085.20","4,109.50","4,072.55","4,109.11"
4/6/23,"4,081.58","4,107.32","4,069.84","4,105.02"
4/5/23,"4,094.50","4,099.69","4,072.56","4,090.38"
4/4/23,"4,128.03","4,133.13","4,086.87","4,100.60"
4/3/23,"4,102.20","4,127.66","4,098.79","4,124.51"
3/31/23,"4,056.18","4,110.75","4,056.18","4,109.31"
3/30/23,"4,046.74","4,057.85","4,032.10","4,050.83"
3/29/23,"3,999.53","4,030.59","3,999.53","4,027.81"
3/28/23,"3,974.13","3,979.20","3,951.53","3,971.27"
3/27/23,"3,982.93","4,003.83","3,970.49","3,977.53"
3/24/23,"3,939.21","3,972.74","3,909.16","3,970.99"
3/23/23,"3,959.21","4,007.66","3,919.05","3,948.72"
3/22/23,"4,002.04","4,039.49","3,936.17","3,936.97"
3/21/23,"3,975.89","4,009.08","3,971.19","4,002.87"
3/20/23,"3,917.47","3,956.62","3,916.89","3,951.57"
